Rank_2018,Airports (large hubs),IATA Code,Major city served,State,2018,2017,2016,2015
1 ,Hartsfield–Jackson Atlanta International Airport,ATL ,Atlanta,GA ,"51,866,464 ","50,251,964 ","50,501,858 ","49,340,732 "
2 ,Los Angeles International Airport,LAX ,Los Angeles,CA ,"42,626,783 ","41,232,432 ","39,636,042 ","36,351,226 "
3 ,O'Hare International Airport,ORD ,Chicago,IL ,"39,874,879 ","38,593,028 ","37,589,899 ","36,305,668 "
4 ,Dallas/Fort Worth International Airport,DFW ,Dallas/Fort Worth ,TX ,"32,800,721 ","31,816,933 ","31,283,579 ","31,589,832 "
5 ,Denver International Airport,DEN ,Denver,CO ,"31,363,573 ","29,809,097 ","28,267,394 ","26,280,043 "
6 ,John F. Kennedy International Airport,JFK ,New York,NY ,"30,541,459 ","29,533,154 ","29,239,151 ","27,782,369 "
7 ,San Francisco International Airport,SFO ,San Francisco,CA ,"27,794,154 ","26,900,048 ","25,707,101 ","24,190,549 "
8 ,Seattle–Tacoma International Airport,SEA ,Seattle/Tacoma ,WA ,"24,894,338 ","22,639,124 ","21,887,110 ","21,231,781 "
9 ,McCarran International Airport,LAS ,Las Vegas,NV ,"23,655,285 ","23,364,393 ","22,833,267 ","21,824,231 "
10 ,Orlando International Airport,MCO ,Orlando,FL ,"23,184,634 ","21,565,448 ","20,283,541 ","18,759,938 "
11 ,Newark Liberty International Airport,EWR ,New York/Newark ,NJ ,"22,798,354 ","21,571,198 ","19,923,009 ","18,684,818 "
12 ,Charlotte Douglas International Airport,CLT ,Charlotte,NC ,"22,283,574 ","22,011,251 ","21,511,880 ","21,913,166 "
13 ,Phoenix Sky Harbor International Airport,PHX ,Phoenix,AZ ,"21,623,842 ","21,185,458 ","20,896,265 ","21,351,445 "
14 ,George Bush Intercontinental Airport,IAH ,Houston,TX ,"21,157,948 ","19,603,731 ","20,062,072 ","20,595,874 "
15 ,Miami International Airport,MIA ,Miami,FL ,"21,025,210 ","20,709,225 ","20,875,813 ","20,986,341 "
16 ,Logan International Airport,BOS ,Boston,MA ,"20,010,262 ","18,759,742 ","17,749,202 ","16,290,362 "
17 ,Minneapolis–Saint Paul International Airport,MSP ,Minneapolis/St. Paul ,MN ,"18,363,493 ","18,409,704 ","18,123,844 ","17,634,252 "
18 ,Fort Lauderdale–Hollywood International Airport,FLL ,Fort Lauderdale,FL ,"17,613,957 ","15,817,043 ","14,263,270 ","13,061,607 "
19 ,Detroit Metropolitan Airport,DTW ,Detroit,MI ,"17,437,716 ","17,036,092 ","16,826,287 ","16,255,520 "
20 ,Philadelphia International Airport,PHL ,Philadelphia,PA ,"15,285,948 ","14,271,243 ","14,564,419 ","15,101,318 "
21 ,LaGuardia Airport,LGA ,New York,NY ,"15,059,648 ","14,614,802 ","14,706,123 ","14,762,593 "
22 ,Baltimore–Washington International Airport,BWI ,"Baltimore/Washington, D.C.",MD ,"13,373,773 ","12,976,554 ","12,340,972 ","11,738,828 "
23 ,Salt Lake City International Airport,SLC ,Salt Lake City,UT ,"12,228,677 ","11,615,954 ","11,143,738 ","10,634,519 "
24 ,San Diego International Airport,SAN ,San Diego,CA ,"12,176,303 ","11,139,933 ","10,340,164 ","9,985,739 "
25 ,Dulles International Airport,IAD ,"Washington, D.C.",VA ,"11,628,309 ","11,024,306 ","10,596,942 ","10,363,918 "
26 ,Ronald Reagan Washington National Airport,DCA ,"Washington, D.C.",VA ,"11,367,176 ","11,506,310 ","11,470,854 ","11,242,375 "
27 ,Midway International Airport,MDW ,Chicago,IL ,"10,685,565 ","10,912,074 ","11,044,353 ","11,044,387 "
28 ,Tampa International Airport,TPA ,Tampa,FL ,"10,369,622 ","9,548,580 ","9,194,994 ","9,150,414 "
29 ,Portland International Airport,PDX ,Portland,OR ,"9,805,535 ","9,435,473 ","9,071,154 ","8,340,234 "
30 ,Daniel K. Inouye International Airport,HNL ,Honolulu,HI ,"9,578,505 ","9,743,989 ","9,656,340 ","9,656,340"
